question_type,dataset,family,model,prompt,calib_size,transfer_type,target,source,median_acc,raw_acc,delta_acc,median_bias,raw_bias,delta_bias,median_rstd,raw_rstd,delta_rstd
yesno,EWOK,Falcon,Falcon3-3B-Instruct,instronly,400,baseline,EWOK,EWOK,0.6914794007490637,0.6811797752808989,0.010299625468164764,0.09644194756554307,0.2406367041198502,-0.14419475655430714,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,instronly,500,baseline,EWOK,EWOK,0.6914794007490637,0.6811797752808989,0.010299625468164764,0.09269662921348315,0.2406367041198502,-0.14794007490636704,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,instronly,10,baseline,EWOK,EWOK,0.7296348314606742,0.7453183520599251,-0.015683520599250933,0.17228464419475656,0.0599250936329588,0.11235955056179775,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,instronly,20,baseline,EWOK,EWOK,0.7312734082397003,0.7453183520599251,-0.014044943820224809,0.13202247191011235,0.0599250936329588,0.07209737827715354,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,instronly,50,baseline,EWOK,EWOK,0.7354868913857678,0.7453183520599251,-0.0098314606741573,0.11189138576779026,0.0599250936329588,0.051966292134831456,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,instronly,100,baseline,EWOK,EWOK,0.7368913857677902,0.7453183520599251,-0.008426966292134908,0.13249063670411984,0.0599250936329588,0.07256554307116103,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,instronly,200,baseline,EWOK,EWOK,0.7368913857677902,0.7453183520599251,-0.008426966292134908,0.13576779026217228,0.0599250936329588,0.07584269662921347,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,instronly,300,baseline,EWOK,EWOK,0.7373595505617978,0.7453183520599251,-0.007958801498127333,0.1285444234404537,0.0599250936329588,0.06861932980749488,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,instronly,400,baseline,EWOK,EWOK,0.738013698630137,0.7453183520599251,-0.007304653429788144,0.12265917602996254,0.0599250936329588,0.06273408239700373,,,
yesno,EWOK,Falcon,Falcon3-10B-Base,instronly,500,baseline,EWOK,EWOK,0.7382958801498127,0.7453183520599251,-0.0070224719101124045,0.12463705162361481,0.0599250936329588,0.06471195799065602,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,instronly,10,baseline,EWOK,EWOK,0.7326779026217228,0.7378277153558053,-0.005149812734082437,0.0984669680650666,0.07677902621722846,0.02168794184783815,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,instronly,20,baseline,EWOK,EWOK,0.7331460674157303,0.7378277153558053,-0.004681647940074973,0.08052434456928839,0.07677902621722846,0.0037453183520599342,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,instronly,50,baseline,EWOK,EWOK,0.7354868913857678,0.7378277153558053,-0.002340823970037431,0.03277153558052434,0.07677902621722846,-0.044007490636704116,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,instronly,100,baseline,EWOK,EWOK,0.7373476927293041,0.7378277153558053,-0.0004800226265011531,0.023408239700374533,0.07677902621722846,-0.053370786516853924,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,instronly,200,baseline,EWOK,EWOK,0.7387218045112782,0.7378277153558053,0.0008940891554729546,0.02153558052434457,0.07677902621722846,-0.05524344569288389,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,instronly,300,baseline,EWOK,EWOK,0.7382958801498127,0.7378277153558053,0.000468164794007464,0.020599250936329586,0.07677902621722846,-0.056179775280898875,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,instronly,400,baseline,EWOK,EWOK,0.7387640449438202,0.7378277153558053,0.000936329588014928,0.024344569288389514,0.07677902621722846,-0.05243445692883894,,,
yesno,EWOK,Falcon,Falcon3-10B-Instruct,instronly,500,baseline,EWOK,EWOK,0.7392322097378277,0.7378277153558053,0.001404494382022392,0.03045881906528659,0.07677902621722846,-0.046320207151941864,,,
yesno,EWOK,Falcon,Falcon3-3B-Base,fewshot,10,baseline,EWOK,EWOK,0.6788389513108615,0.6793071161048689,-0.000468164794007464,0.1952247191011236,0.21629213483146068,-0.021067415730337075,,,
