Question_Type,Dataset,Model_Family,Target_Model,Transfer_Type,median_acc,q25_acc,q75_acc,bias_median,best_acc,worst_acc
NLI,SNLI,Gemma3,gemma-3-12b-pt,Same,0.7278,0.7252,0.7294,0.1449,0.737,0.7153
NLI,SNLI,Gemma3,gemma-3-27b-it,Cross,0.8094,0.8069,0.8113,0.0964,0.8164,0.8021
NLI,SNLI,Gemma3,gemma-3-27b-it,Same,0.831,0.8301,0.832,0.0734,0.8418,0.8262
NLI,SNLI,Gemma3,gemma-3-27b-pt,Cross,0.5636,0.5571,0.5682,0.3999,0.5935,0.5104
NLI,SNLI,Gemma3,gemma-3-27b-pt,Same,0.7428,0.7418,0.7444,0.0626,0.7537,0.7385
NLI,SNLI,Llama3,Llama-3.1-70B,Cross,0.6828,0.6735,0.6932,0.2215,0.7079,0.6353
NLI,SNLI,Llama3,Llama-3.1-70B,Same,0.764,0.7623,0.7654,0.0832,0.7706,0.7555
NLI,SNLI,Llama3,Llama-3.1-70B-Instruct,Cross,0.7828,0.7809,0.7852,0.1071,0.791,0.7755
NLI,SNLI,Llama3,Llama-3.1-70B-Instruct,Same,0.8026,0.8004,0.8048,0.0567,0.8155,0.7928
NLI,SNLI,Llama3,Llama-3.1-8B,Cross,0.4958,0.4713,0.5262,0.3083,0.5647,0.4161
NLI,SNLI,Llama3,Llama-3.1-8B,Same,0.514,0.5126,0.5154,0.12,0.5318,0.4892
NLI,SNLI,Llama3,Llama-3.1-8B-Instruct,Cross,0.6096,0.6068,0.6117,0.1915,0.616,0.5984
NLI,SNLI,Llama3,Llama-3.1-8B-Instruct,Same,0.6198,0.6179,0.6222,0.0896,0.6284,0.6046
YN,ARITH,Falcon,Falcon3-10B-Base,Cross,0.805,0.7965,0.8099,0.1509,0.8263,0.7352
YN,ARITH,Falcon,Falcon3-10B-Base,Same,0.8797,0.8775,0.8813,0.0215,0.8893,0.8662
YN,ARITH,Falcon,Falcon3-10B-Instruct,Cross,0.8806,0.8776,0.8827,0.0712,0.8892,0.8683
YN,ARITH,Falcon,Falcon3-10B-Instruct,Same,0.8975,0.896,0.8994,0.0231,0.9097,0.8866
YN,ARITH,Falcon,Falcon3-3B-Base,Cross,0.6717,0.6532,0.7051,0.31,0.7586,0.6056
YN,ARITH,Falcon,Falcon3-3B-Base,Same,0.8394,0.8374,0.8413,0.0319,0.846,0.8194
YN,ARITH,Falcon,Falcon3-3B-Instruct,Cross,0.8015,0.7983,0.8036,0.0921,0.8101,0.7875
YN,ARITH,Falcon,Falcon3-3B-Instruct,Same,0.8331,0.8305,0.8346,0.0089,0.839,0.801
YN,ARITH,Gemma3,gemma-3-12b-it,Cross,0.8623,0.8464,0.8689,0.096,0.875,0.8076
YN,ARITH,Gemma3,gemma-3-12b-it,Same,0.8944,0.8925,0.8962,0.0075,0.9003,0.8726
YN,ARITH,Gemma3,gemma-3-12b-pt,Cross,0.6989,0.6789,0.7415,0.2857,0.8087,0.623
YN,ARITH,Gemma3,gemma-3-12b-pt,Same,0.8907,0.8876,0.8931,0.0144,0.8989,0.8619
YN,ARITH,Gemma3,gemma-3-27b-it,Cross,0.9794,0.979,0.9795,0.0129,0.9808,0.9778
YN,ARITH,Gemma3,gemma-3-27b-it,Same,0.9828,0.9814,0.9835,0.0039,0.9859,0.9773
YN,ARITH,Gemma3,gemma-3-27b-pt,Cross,0.7514,0.7034,0.8098,0.2411,0.8689,0.6423
YN,ARITH,Gemma3,gemma-3-27b-pt,Same,0.9499,0.9484,0.9511,0.0108,0.9544,0.9334
YN,ARITH,Llama3,Llama-3.1-70B,Cross,0.8868,0.8764,0.8971,0.1085,0.9204,0.8542
YN,ARITH,Llama3,Llama-3.1-70B,Same,0.9523,0.9506,0.9536,0.0119,0.9567,0.9367
YN,ARITH,Llama3,Llama-3.1-70B-Instruct,Cross,0.9644,0.9634,0.9664,0.0278,0.9685,0.9603
YN,ARITH,Llama3,Llama-3.1-70B-Instruct,Same,0.9805,0.9792,0.9816,0.0031,0.9848,0.9725
YN,ARITH,Llama3,Llama-3.1-8B,Cross,0.7704,0.7513,0.7831,0.1677,0.8106,0.6957
YN,ARITH,Llama3,Llama-3.1-8B,Same,0.8169,0.8141,0.8189,0.0265,0.8258,0.7983
YN,ARITH,Llama3,Llama-3.1-8B-Instruct,Cross,0.7791,0.7636,0.7879,0.1463,0.8056,0.7052
YN,ARITH,Llama3,Llama-3.1-8B-Instruct,Same,0.8278,0.8251,0.8302,0.0149,0.8356,0.792
YN,BABI,Falcon,Falcon3-10B-Base,Cross,0.8423,0.8241,0.8557,0.1238,0.8762,0.755
YN,BABI,Falcon,Falcon3-10B-Base,Same,0.9027,0.9005,0.9045,0.0126,0.9092,0.896
YN,BABI,Falcon,Falcon3-10B-Instruct,Cross,0.9065,0.9041,0.9087,0.0389,0.9131,0.8977
YN,BABI,Falcon,Falcon3-10B-Instruct,Same,0.9176,0.9161,0.9186,0.0144,0.9218,0.9122
YN,BABI,Falcon,Falcon3-3B-Base,Cross,0.6603,0.636,0.6806,0.3066,0.7441,0.5821
