dataset,model,raw_acc,raw_tvd,raw_rsd,cc_acc,cc_tvd,cc_rsd,bc_acc,bc_tvd,bc_rsd,rb_acc,rb_tvd,rb_rsd
MMLU-SOCIAL_SCI,Falcon3-3B-Instruct,0.6208,0.0217,0.0408,-0.0025,-0.0017,-0.0154,-0.0017,-0.0033,+0.0051,+0.0000,-0.0042,+0.0016
MMLU-SOCIAL_SCI,Falcon3-10B-Base,0.7742,0.0250,0.0250,-0.0083,+0.0400,+0.0536,-0.0050,+0.0083,+0.0163,-0.0017,+0.0100,+0.0101
MMLU-SOCIAL_SCI,Falcon3-10B-Instruct,0.7867,0.0200,0.0196,-0.0033,+0.0083,+0.0181,-0.0100,-0.0033,+0.0050,-0.0050,-0.0033,+0.0046
MMLU-SOCIAL_SCI,Llama-3.1-8B,0.7100,0.0200,0.0100,-0.1617,+0.3733,+0.4507,-0.0158,+0.0550,+0.0598,-0.0217,+0.0533,+0.0737
MMLU-SOCIAL_SCI,Llama-3.1-8B-Instruct,0.7317,0.0200,0.0458,-0.0192,+0.1083,+0.1159,+0.0033,+0.0058,+0.0151,+0.0033,+0.0050,+0.0088
MMLU-SOCIAL_SCI,Llama-3.1-70B,0.8042,0.0208,0.0226,-0.0450,+0.1083,+0.1194,+0.0033,+0.0117,+0.0148,+0.0042,+0.0042,+0.0100
MMLU-SOCIAL_SCI,Llama-3.1-70B-Instruct,0.8292,0.0342,0.0316,+0.0075,+0.0167,+0.0284,+0.0025,-0.0275,-0.0212,+0.0092,-0.0208,-0.0174
MMLU-SOCIAL_SCI,gemma-3-27b-pt,0.8133,0.0583,0.0800,-0.0267,+0.0825,+0.0606,+0.0042,-0.0400,-0.0371,+0.0142,-0.0392,-0.0427
MMLU-SOCIAL_SCI,gemma-3-27b-it,0.8025,0.0117,0.0252,-0.0008,+0.0233,+0.0242,-0.0008,+0.0000,+0.0022,-0.0042,-0.0008,+0.0035
MMLU-SOCIAL_SCI,gemma-3-12b-pt,0.7883,0.0217,0.0278,-0.0808,+0.2008,+0.1697,-0.0025,-0.0125,-0.0061,+0.0008,-0.0050,+0.0030
